src,dst,2017,2018,2019
.NET,.NET Core,0,0,12258
.NET,BSD/Unix,0,0,13
.NET,Linux-based,0,0,1860
.NET,MacOS,0,0,886
.NET,Node.js,0,0,7655
.NET,Pandas,0,0,1056
.NET,Puppet,0,0,292
.NET,React Native,0,0,1319
.NET,TensorFlow,0,0,1203
.NET,Torch/PyTorch,0,0,357
.NET,Unity 3D,0,0,2865
.NET,Unreal Engine,0,0,865
.NET,Windows,0,0,2969
.NET,Xamarin,0,0,2994
.NET Core,Android Studio,1187,2588,0
.NET Core,Atom,870,1624,0
.NET Core,BSD/Unix,0,23,7
.NET Core,Coda,33,89,0
.NET Core,Cordova,0,1020,0
.NET Core,Django,0,865,0
.NET Core,Eclipse,1281,2106,0
.NET Core,Emacs,197,327,0
.NET Core,Hadoop,0,393,0
.NET Core,IPython / Jupyter,170,581,0
.NET Core,IntelliJ,1007,2437,0
.NET Core,Komodo,56,115,0
.NET Core,Light Table,18,51,0
.NET Core,Linux-based,0,1062,1285
.NET Core,MacOS,0,1543,667
.NET Core,NetBeans,591,1105,0
.NET Core,Node.js,0,5440,5831
.NET Core,Notepad++,3338,6929,0
.NET Core,PHPStorm,375,876,0
.NET Core,Pandas,0,0,715
.NET Core,Puppet,0,0,243
.NET Core,PyCharm,450,1195,0
.NET Core,RStudio,159,324,0
.NET Core,React,0,2578,0
.NET Core,React Native,0,0,1058
.NET Core,RubyMine,95,171,0
.NET Core,Spark,0,290,0
.NET Core,Spring,0,976,0
.NET Core,Sublime Text,1390,2925,0
.NET Core,TensorFlow,0,614,860
.NET Core,TextMate,50,122,0
.NET Core,Torch/PyTorch,0,146,278
.NET Core,Unity 3D,0,0,1853
.NET Core,Unreal Engine,0,0,605
.NET Core,Vim,957,2116,0
.NET Core,Visual Studio,5945,12179,0
.NET Core,Visual Studio Code,2326,8118,0
.NET Core,Windows,0,11264,1947
.NET Core,Xamarin,0,2285,2325
.NET Core,Xcode,661,1261,0
.NET Core,Zend,37,87,0
ASP.NET,.NET,0,0,14539
ASP.NET,.NET Core,0,0,10280
ASP.NET,Ansible,0,0,468
ASP.NET,Apache Spark,0,0,465
ASP.NET,BSD/Unix,0,0,14
ASP.NET,Chef,0,0,285
ASP.NET,Cordova,0,0,1154
ASP.NET,CryEngine,0,0,154
ASP.NET,Django,0,0,1020
ASP.NET,Drupal,0,0,517
ASP.NET,Express,0,0,2229
ASP.NET,Flask,0,0,888
ASP.NET,Flutter,0,0,409
ASP.NET,Hadoop,0,0,474
ASP.NET,Laravel,0,0,1093
ASP.NET,Linux-based,0,0,1263
ASP.NET,MacOS,0,0,702
ASP.NET,Node.js,0,0,6245
ASP.NET,Pandas,0,0,738
ASP.NET,Puppet,0,0,223
ASP.NET,React Native,0,0,1105
ASP.NET,React.js,0,0,3836
ASP.NET,Ruby on Rails,0,0,690
ASP.NET,Spring,0,0,1202
ASP.NET,TensorFlow,0,0,835
ASP.NET,Torch/PyTorch,0,0,254
ASP.NET,Unity 3D,0,0,1633
ASP.NET,Unreal Engine,0,0,504
ASP.NET,Vue.js,0,0,2107
ASP.NET,Windows,0,0,2711
ASP.NET,Xamarin,0,0,2358
ASP.NET,jQuery,0,0,9475
AWS,.NET,0,0,4100
AWS,.NET Core,0,2620,3240
AWS,ASP.NET,0,0,3467
AWS,Android Studio,0,2787,3220
AWS,Angular/Angular.js,0,5330,6217
AWS,Ansible,0,0,2851
AWS,Apache Spark,0,0,1687
AWS,Atom,0,3621,3230
AWS,Azure,0,2478,0
AWS,BSD/Unix,0,28,29
AWS,Chef,0,0,947
AWS,Coda,0,138,163
AWS,Cordova,0,1328,1500
AWS,CryEngine,0,0,116
AWS,Django,0,2319,3145
AWS,Docker,0,0,12053
AWS,Drupal,0,692,811
AWS,ESP8266,0,427,0
AWS,Eclipse,0,2521,2541
AWS,Emacs,0,846,1267
AWS,Express,0,0,5250
AWS,Firebase,0,2732,0
AWS,Flask,0,0,3298
AWS,Flutter,0,0,623
AWS,Gaming console,0,221,0
AWS,Google Cloud Platform/App Engine,0,2286,4770
AWS,Google Home,0,334,0
AWS,Hadoop,0,995,1367
AWS,Heroku,0,2968,3920
AWS,IBM Cloud or Watson,0,406,712
AWS,IPython / Jupyter,0,1585,2620
AWS,IntelliJ,0,5155,6980
AWS,Komodo,0,94,105
AWS,Kubernetes,0,0,3638
AWS,Laravel,0,0,2236
AWS,Light Table,0,47,62
AWS,Linux,0,9203,13950
AWS,Linux-based,0,4138,6084
AWS,MacOS,0,11042,11293
AWS,Mainframe,0,120,0
AWS,Microsoft Azure,0,0,3133
AWS,NetBeans,0,967,909
AWS,Node.js,0,8178,10631
AWS,Notepad++,0,3894,4714
AWS,PHPStorm,0,1781,1997
AWS,Pandas,0,0,2760
AWS,Predix,0,61,0
AWS,Puppet,0,0,794
AWS,PyCharm,0,2392,3466
AWS,RStudio,0,544,697
AWS,Raspberry Pi,0,3001,3955
AWS,React,0,5107,0
AWS,React Native,0,0,2518
AWS,React.js,0,0,7809
AWS,Ruby on Rails,0,0,2586
